0.001	0.002
0.002	0.003
0.003	0.004
0.004	0.006
0.005	0.007
0.006	0.008
0.007	0.009
0.008	0.02
0.009	0.02
0.01	0.02
0.011	0.02
0.012	0.02
0.013	0.02
0.014	0.02
0.015	0.02
0.016	0.03
0.017	0.03
0.018	0.03
0.019	0.03
0.02	0.03
0.021	0.03
0.022	0.03
0.023	0.03
0.024	0.04
0.025	0.04
0.026	0.04
0.027	0.04
0.028	0.04
0.029	0.04
0.03	0.04
0.031	0.04
0.032	0.05
0.033	0.05
0.034	0.05
0.035	0.05
0.036	0.05
0.037	0.05
0.038	0.05
0.039	0.05
0.04	0.06
0.041	0.06
0.042	0.06
0.043	0.06
0.044	0.06
0.045	0.06
0.046	0.06
0.047	0.06
0.048	0.07
0.049	0.07
0.05	0.07
0.051	0.07
0.052	0.07
0.053	0.07
0.054	0.07
0.055	0.07
0.056	0.08
0.057	0.08
0.058	0.08
0.059	0.08
0.06	0.08
0.061	0.08
0.062	0.08
0.063	0.08
0.064	0.09
0.065	0.09
0.066	0.09
0.067	0.09
0.068	0.09
0.069	0.09
0.07	0.09
0.071	0.09
0.072	0.1
0.073	0.1
0.074	0.1
0.075	0.1
0.076	0.1
0.077	0.1
0.078	0.1
0.079	0.1
0.08	0.11
0.081	0.11
0.082	0.11
0.083	0.11
0.084	0.11
0.085	0.11
0.086	0.11
0.087	0.11
0.088	0.12
0.089	0.12
0.09	0.12
0.091	0.12
0.092	0.12
0.093	0.12
0.094	0.12
0.095	0.12
0.096	0.13
0.097	0.13
0.098	0.13
0.099	0.13
0.1	0.13
0.101	0.13
0.102	0.13
0.103	0.13
0.104	0.14
0.105	0.14
0.106	0.14
0.107	0.14
0.108	0.14
0.109	0.14
0.11	0.14
0.111	0.14
0.112	0.15
0.113	0.15
0.114	0.15
0.115	0.15
0.116	0.15
0.117	0.15
0.118	0.15
0.119	0.15
0.12	0.16
0.121	0.16
0.122	0.16
0.123	0.16
0.124	0.16
0.125	0.16
0.126	0.16
0.127	0.16
0.128	0.17
0.129	0.17
0.13	0.17
0.131	0.17
0.132	0.17
0.133	0.17
0.134	0.17
0.135	0.18
0.136	0.18
0.137	0.18
0.138	0.18
0.139	0.18
0.14	0.18
0.141	0.18
0.142	0.18
0.143	0.19
0.144	0.19
0.145	0.19
0.146	0.19
0.147	0.19
0.148	0.19
0.149	0.19
0.15	0.19
0.151	0.2
0.152	0.2
0.153	0.2
0.154	0.2
0.155	0.2
0.156	0.2
0.157	0.2
0.158	0.2
0.159	0.21
0.16	0.21
0.161	0.21
0.162	0.21
0.163	0.21
0.164	0.21
0.165	0.21
